mean	median	sd	mad	q5	q95	rhat	ess_bulk	ess_tail	2.5%	97.5%	group	country
1.10464143125	1.10463	0.00203650321192724	0.00201633600000004	1.10135	1.10804	1.00043495166383	13234.8527143782	5442.31535127162	1.10070975	1.10869	BA.2.75	Australia
1.16074787625	1.16059	0.00531514962669257	0.00514462200000012	1.15231	1.169811	1.00065315003499	11666.4953002129	5521.51951392933	1.1507095	1.171621	BQ.1	Australia
1.1951712225	1.19514	0.00667442564384406	0.00671617800000005	1.1844895	1.2063705	1.00096084946268	13346.271575913	5673.41055921782	1.18243	1.20854025	BQ.1.1	Australia
1.137393315	1.13727	0.00804512535116853	0.00794673600000005	1.124219	1.1509305	1.00154401846797	10704.6346589524	4997.42567042765	1.12216	1.15362025	XBB	Australia
1.1465821025	1.14642	0.00821003278064565	0.00819877800000005	1.133269	1.16039	1.00267708243434	10633.3494890917	4773.28261530538	1.130759	1.162961	XBB.1	Australia
1.1277259475	1.12776	0.00265659882498438	0.00269833200000023	1.12335	1.13207	1.00080710005024	10763.7542514623	5108.78898567096	1.12262	1.13285	BA.2.75	United Kingdom
1.16221847125	1.16218	0.00258085409824112	0.00257972400000011	1.1579995	1.16652	1.00018854173696	10183.4039495532	6123.02520039707	1.15723	1.16736025	BQ.1	United Kingdom
1.1973825125	1.19735	0.00309783526599796	0.00305415600000009	1.1923	1.20254	1.00161227321205	10774.7626543363	6190.39682013837	1.19137	1.20362	BQ.1.1	United Kingdom
1.20906022875	1.209005	0.0122485202766005	0.0124464269999999	1.18881	1.2297205	1.00028155569525	14035.0231070048	5394.94818746303	1.18537925	1.2330305	XBB	United Kingdom
1.31788368875	1.31766	0.0169390979160757	0.0169238790000001	1.290559	1.3467205	1.00057886232964	13168.6218203341	5858.58577899074	1.28525	1.35218175	XBB.1	United Kingdom
1.0906265125	1.09063	0.00144168603366725	0.00142329600000011	1.08824	1.093	1.00081074142722	15409.2849825975	5383.66488576073	1.08778	1.09343025	BA.2.75	USA
1.1845124125	1.18451	0.00153029025134954	0.00151225200000003	1.18195	1.18705	1.00061472360792	12198.478302193	4887.68755075785	1.18145975	1.18756025	BQ.1	USA
1.2179687425	1.21797	0.00208773053722056	0.00210529199999997	1.21456	1.22143	1.00069073134961	12040.4522068897	4931.50835281388	1.21396	1.22204	BQ.1.1	USA
1.1971608025	1.19705	0.0077246223146981	0.00788743199999999	1.1846695	1.210021	1.00110091869053	14760.3907710964	5823.36699719768	1.18223975	1.21241025	XBB	USA
1.26941926625	1.2693	0.00814257320884612	0.00796156199999981	1.256179	1.28294	1.0002174676081	11720.4447419626	5365.17585670293	1.2538695	1.28588075	XBB.1	USA
1.064653755	1.06461	0.00327426489861515	0.00327654600000007	1.0593995	1.0700605	1.00023916484295	12124.9586011993	5274.22315879593	1.05835	1.0711	BA.2.75	Austria
1.144702875	1.144455	0.0105225864269444	0.0104745690000001	1.127759	1.162492	1.0004287670062	8124.21122951168	4025.41385092965	1.12484975	1.1662805	BQ.1	Austria
1.1902949625	1.190015	0.0123626396617397	0.012209211	1.17029	1.2109705	1.00057594131994	10282.1524862896	5349.60281134915	1.1667195	1.21577025	BQ.1.1	Austria
1.1060069325	1.105855	0.0104940333241023	0.0107266110000002	1.089169	1.1234805	1.00083916603403	11703.0366550295	5255.995146289	1.086599	1.12668075	XBB	Austria
1.169765075	1.169575	0.0111546824467098	0.0110972609999999	1.15232	1.188271	1.000165534889	11561.4613233057	5598.81276148961	1.14860925	1.19219025	XBB.1	Austria
1.1453217325	1.14527	0.00377280272522884	0.00381028199999994	1.13921	1.1515105	1.00099014259283	12052.6447711748	5283.37360223836	1.13811975	1.15286	BA.2.75	Denmark
1.16924901125	1.16923	0.00384652440894725	0.00378063000000008	1.1629095	1.17566	1.00134782592636	12065.6532660911	6237.98727656835	1.16160975	1.17673025	BQ.1	Denmark
1.2035146	1.2035	0.00369844756679077	0.00373615200000011	1.19746	1.20976	1.00056983089497	11679.235497891	6235.02760134206	1.19648975	1.21087	BQ.1.1	Denmark
