country	group	Collection.date	mean	freq.class
Slovenia	BQ.1	2022-11-01	0.17464992245	>10%
Thailand	BQ.1	NA	0	<1%
Vietnam	BQ.1	NA	0	<1%
Australia	XBB	2022-11-15	0.069265084125	>1%
Austria	XBB	2022-11-11	0.15993331625	>10%
Bangladesh	XBB	2022-09-24	0.99801785175	>50%
Belgium	XBB	2022-11-15	0.03221061295	>1%
Brazil	XBB	NA	0	<1%
Brunei	XBB	2022-10-26	0.4602188195	>20%
Canada	XBB	2022-11-15	0.0066833615925	<1%
Chile	XBB	NA	0	<1%
Croatia	XBB	NA	0	<1%
Czech Republic	XBB	NA	0	<1%
Denmark	XBB	2022-11-15	0.040205528625	>1%
Dominican Republic	XBB	2022-11-02	0.72582063375	>50%
Ecuador	XBB	NA	0	<1%
Finland	XBB	2022-11-11	0.161768810425	>10%
France	XBB	2022-11-15	0.0167334637575	>1%
Germany	XBB	2022-11-15	0.00804939342	<1%
Hong Kong	XBB	NA	0	<1%
Iceland	XBB	NA	0	<1%
India	XBB	2022-11-11	0.90926177825	>50%
Indonesia	XBB	2022-11-15	0.5169911065	>50%
Ireland	XBB	2022-11-15	0.038355291425	>1%
Israel	XBB	2022-11-15	0.05230367645	>1%
Italy	XBB	2022-11-15	0.032984313375	>1%
Japan	XBB	2022-11-15	0.011377930065	>1%
Kenya	XBB	NA	0	<1%
Luxembourg	XBB	NA	0	<1%
Malaysia	XBB	2022-11-15	0.64063914325	>50%
Mexico	XBB	NA	0	<1%
Netherlands	XBB	2022-11-15	0.077547477825	>1%
Nigeria	XBB	NA	0	<1%
Norway	XBB	2022-11-14	0.0711782001	>1%
Peru	XBB	2022-11-15	0.43903744025	>20%
Portugal	XBB	NA	0	<1%
Puerto Rico	XBB	NA	0	<1%
Reunion	XBB	NA	0	<1%
Singapore	XBB	2022-11-15	0.58484906075	>50%
South Africa	XBB	NA	0	<1%
South Korea	XBB	2022-11-09	0.029837519325	>1%
Spain	XBB	NA	0	<1%
Sweden	XBB	2022-11-15	0.0732913686	>1%
Switzerland	XBB	2022-11-15	0.0557814497	>1%
Turkey	XBB	NA	0	<1%
UK	XBB	2022-11-15	0.041023570775	>1%
USA	XBB	2022-11-15	0.03889305755	>1%
Costa Rica	XBB	NA	0	<1%
Estonia	XBB	NA	0	<1%
Greece	XBB	NA	0	<1%
New Zealand	XBB	NA	0	<1%
Philippines	XBB	2022-10-16	0.866000326	>50%
Poland	XBB	NA	0	<1%
Romania	XBB	NA	0	<1%
Russia	XBB	NA	0	<1%
Slovakia	XBB	NA	0	<1%
Slovenia	XBB	NA	0	<1%
Thailand	XBB	NA	0	<1%
Vietnam	XBB	NA	0	<1%
